Date,Close
16/12/2020,3700.75
17/12/2020,3721.25
18/12/2020,3726.25
21/12/2020,3685.75
22/12/2020,3677.25
23/12/2020,3681.5
24/12/2020,3695
28/12/2020,3727.5
29/12/2020,3720
30/12/2020,3724.25
31/12/2020,3748.75
04/01/2021,3692.25
05/01/2021,3718.25
06/01/2021,3740.5
07/01/2021,3795.5
08/01/2021,3817.5
11/01/2021,3792
12/01/2021,3794.5
13/01/2021,3803.75
14/01/2021,3791.25
15/01/2021,3762.25
19/01/2021,3790.5
20/01/2021,3845
21/01/2021,3846
22/01/2021,3834.25
25/01/2021,3848.5
26/01/2021,3842.5
27/01/2021,3744.25
28/01/2021,3779.25
29/01/2021,3705.25
01/02/2021,3765.75
02/02/2021,3818.25
03/02/2021,3823.5
04/02/2021,3864.5
05/02/2021,3880.25
08/02/2021,3908
09/02/2021,3905.5
10/02/2021,3903
11/02/2021,3912
12/02/2021,3931
16/02/2021,3927.75
17/02/2021,3928
18/02/2021,3909.5
19/02/2021,3903
22/02/2021,3873.5
23/02/2021,3878
24/02/2021,3922.5
25/02/2021,3828
26/02/2021,3809.2
01/03/2021,3898.8
02/03/2021,3867.6
03/03/2021,3816.7
04/03/2021,3765.6
05/03/2021,3839
08/03/2021,3819.3
09/03/2021,3873.3
10/03/2021,3896.5
11/03/2021,3936.7
12/03/2021,3942.2
15/03/2021,3967.6
16/03/2021,3962.4
17/03/2021,3974
18/03/2021,3916.4
19/03/2021,3912.62
22/03/2021,3930
23/03/2021,3899.8
24/03/2021,3880.8
25/03/2021,3900.5
26/03/2021,3964.8
29/03/2021,3958.9
30/03/2021,3947.7
31/03/2021,3967.4
01/04/2021,4009.9
02/04/2021,4009.9
05/04/2021,4067.7
06/04/2021,4064
07/04/2021,4069.9
08/04/2021,4089
09/04/2021,4119.5
12/04/2021,4120.3
13/04/2021,4132.8
14/04/2021,4117.9
15/04/2021,4162.4
16/04/2021,4176.3
19/04/2021,4155.5
20/04/2021,4126.6
21/04/2021,4164.8
22/04/2021,4127.7
23/04/2021,4171.5
26/04/2021,4179.4
27/04/2021,4178.9
28/04/2021,4176.3
